  Date and Time			|	Name of the customer	|	Bill Paid   |
--------------------------------|-------------------------------|-------------------| 


04/04/2020 13:40:05 			    1                  		200.0

04/04/2020 13:41:35 			    1                  		200.0

04/04/2020 13:45:02 			    1                  		200.0

04/04/2020 13:54:26 			    1                  		200.0

04/04/2020 13:54:26 			    1                  		200.0

04/04/2020 18:59:01 			    Tharun                  		200.0

04/04/2020 19:12:31 			    1                  		200.0

04/04/2020 19:15:03 			    2                  		200.0

04/04/2020 19:19:29 			    1                  		null

04/04/2020 19:28:02 			    1                  		0.0

04/04/2020 19:29:33 			    1                  		0.0

04/04/2020 19:29:39 			    1                  		0.0

04/04/2020 19:29:39 			    null                  		0.0

04/04/2020 19:29:39 			    1                  		0.0

04/04/2020 19:29:39 			    null                  		0.0

04/04/2020 19:29:39 			    null                  		0.0

04/04/2020 19:29:40 			    1                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    1                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:40 			    null                  		0.0

04/04/2020 19:29:41 			    1                  		0.0

04/04/2020 19:29:41 			    null                  		0.0

04/04/2020 19:29:41 			    null                  		0.0

04/04/2020 19:29:41 			    null                  		0.0

04/04/2020 19:29:41 			    null                  		0.0

04/04/2020 19:29:41 			    null                  		0.0

04/04/2020 19:30:39 			    1                  		150.0

04/04/2020 19:31:30 			    1                  		200.0

04/04/2020 20:45:30 			    1                  		200.0

04/04/2020 20:45:40 			    1                  		200.0

04/04/2020 20:45:40 			    2                  		200.0

04/04/2020 20:47:50 			    1                  		200.0

04/04/2020 20:47:54 			    1                  		200.0

04/04/2020 20:47:54 			    2                  		200.0
